Soubor,Správně,Špatně,Celkem,Úspěšnost (%),Stav
16265,1244,73,1317,94.45709946848899,Zpracováno úspěšně
16272,916,81,997,91.87562688064193,Zpracováno úspěšně
16273,1178,65,1243,94.77071600965407,Zpracováno úspěšně
16420,1029,125,1154,89.1681109185442,Zpracováno úspěšně
16483,845,326,1171,72.16054654141759,Zpracováno úspěšně
16539,1016,79,1095,92.78538812785388,Zpracováno úspěšně
16773,980,411,1391,70.45291157440691,Zpracováno úspěšně
16786,943,21,964,97.82157676348547,Zpracováno úspěšně
16795,839,220,1059,79.22568460812087,Zpracováno úspěšně
17052,995,123,1118,88.99821109123435,Zpracováno úspěšně
17453,852,182,1034,82.39845261121856,Zpracováno úspěšně
18177,1251,242,1493,83.79102478231748,Zpracováno úspěšně
18184,1139,62,1201,94.8376353039134,Zpracováno úspěšně
19088,1065,316,1381,77.11803041274439,Zpracováno úspěšně
19090,1043,105,1148,90.85365853658537,Zpracováno úspěšně
19093,849,112,961,88.34547346514047,Zpracováno úspěšně
19140,1138,125,1263,90.10292953285828,Zpracováno úspěšně
19830,1303,121,1424,91.50280898876404,Zpracováno úspěšně
